codigo;stock
GAS66008;17
AG055012;40
THOP6531;7
SKF-109SP220H;7
RAY22075;107
MAFLX577;73
GARRE7129;5
FRI38036MI;133
WP10200P;280
AXI012.0509;111
APE2129;183
FRI83822;193
DUR13746;11
TEN205696;52
APE2627;57
NJH00-0098;191
WP8752;46
RAY83454;28
ARC1128;1
THO1555;109
AG213115;4
MON742119SP;13
WP7360;2
VMGBA650;14
THO1459;179
MON376044SP;26
PER.HC206-A;27
VMGBA803;475
GARPG1076;6
FRI94207;3
WC727113;3
FRI95621MI;0
VTH8984;53
VMGBA023;51
TEKSK-410K;22
AXI011.0875;5
HB4015M;1
H1839RC;31
WC727119;23
ETM1266;78
UN1486;43
VTH9159;8
NAN28014;370
DAU046;73
CES5306;173
RAY83783;145
THO7102;19
ETM1191;28
TEN202561;10
FRID44455;4
WC830033;42
THO6336;50
ARC4118;6
VTH8200-123;12
MON72148;24
VTH5573R;51
VTH9136;20
NAN99097;63
TEKFO-301;29
DAULCI174;1
LT60026;27
SKF-6PK1013;52
MON376083SP;-4
HB5021;45
WC727049;99
TEKP-272;0
RAY83490;4
UP2015R;80
COB1220A-003;-2
RAY88245;154
AXI044.2044;4
UB03040;13
WF0362971;1
TEKFO-231;191
COQ0138;37
NAN9094;45
UB90278;5
NAN10982;23
AGEVO-151;1
WD83108;20
HB5014;66
MAFLX610;79
TEKN-572;159
MAFKL788;195
SKF-10A1090C;23
TEKN-907;11
WH17020;61
WD82057;30
VTH5427;3
RAY22527;64
MAFOC474;13
US8124;8
FRI94231;46
CHRS14LC;16
GARRO051B;91
MAN0303;2
MON72952;10
WP11860;35
COQ2104;16
WD804839;19
WC836448;-2
PER012-STD;30
SKF-32221;75
AG135096R;0
GAS61011;154
TEKF-772K;6
VMGBA413;353
GAS84015;57
US3562;29
WH11164;25
MOND7695;143
ARC4323;4
AG251179R;18
TEKDO-126;27
UP2315;77
MRS0932;4
GARTO256AM;160
US9011;18
NJH80-9968;73
VTH5974;0
MON37109;39
AG191032;104
UP1434R;-2
NJH73-559;20
AG041178K;30
GAS87328;116
VTH2011;57
UB04060;8
RM335;29
COB1080C-005;17
SER10032;1
ETMTR3074;72
FRI72080;0
MRS1323;0
DAUFD058I;1
HC516;46
HC242;1
AG191083;44
MONG16493;14
TEKN-843;41
WP15861;78
NAN11938;80
NKF8093;120
UB09019;1
WD80802;154
VTH5780;55
WH351244;28
ARC2158;5
FUE2516-97;71
SKF-5PK1462;3
RAY83559A;157
COQ0161;182
VMGBA939;222
AG026019;19
TEN205506;35
RAY22644;16
AG213124TP;0
DAU508;21
COB1190B-STD;3
RAY22119A;60
COQ2049;58
AXILT80066;5
UP2360R;339
DAULCI177;65
TEN202246;60
THO1397;29
MRS0965;51
OTR17354;187
LIG144778;343
AG260001;112
SKF-3PK0715;67
AG231004;55
WF0010492;21
NAN29351;104
FRI83850;17
FRI808021MM;52
WH16036;25
VTH1281-10;48
WP15070P;64
WP8431;244
PER050-020;4
COB1010A-030;30
FRID65356;4
COB1250A-030;62
WF0008226;6
VMGBA540;-4
GARCE1024A;13
SKF-8PK1550;24
NANBJ7003DP;23
NANBJ6010DP;19
ARC6202;482
MAFOX983D;28
WP10220P;15
MRS0021;9
THO3986;51
HB8207;5
SKF-6PK1715;295
DAU068;4
WS840;24
FRI72088;469
CH0205;37
AG041156TP;118
FRI38019;2
TEN203564;28
MOND65466;14
WF0003067;0
MRS0752;-3
MATX483D;39
OST184;79
WF0322965;6
COB1195A-015;61
MON140065475;16
WC830522;1
AG260008;21
WD86491;1
TEKFO-693;8
BECA39;74
THO7315;-4
WP8080;119
MRS0397;-4
MON742193SP;4
NANBJ5002EP;70
US3711;5
RS9029;20
COB1080A-010;24
COB1130A-010;357
UB01073;34
COB1220-STD;78
CHRC87YCC;-4
AXI531.2838;47
TEKP-657;41
MOND4005;5
COB9013;-5
ETM1148;28
MRS0715;49
COQ1743;0
COQ2099;15
TEN206227;60
WF0011026;-4
FUE2016-97;181
SKF-7PK1545;68
AXI011.0683;43
ETMTR1262;23
WP17660P;2
UB11007;186
SPR4372-6197;1
NAN9092;3
UB90116;67
RAY130768;137
TEKT-603;3
WD83623;48
JOR3241RT;21
US8510;25
HB2083;0
UB04043;16
DAUPE106D;32
AG081013;-1
HB1028;32
FRI808438MM;338
DAULC190;79
OST156A;61
LIG104894;20
VTH5934;104
COQ0745;424
SKF-4PK1238;62
VTH7549;441
THO7806;16
MONG7477;9
WH322045;123
US3611;21
AG092010;18
US09524-2;151
GARRE7120;0
MACV0250016;-3
TEKP-636;30
GAS62216;22
GARGM5107;81
MONG16270;65
THOP6819;7
THO1011;3
NAN10412;62
VMGBA481;79
NAN351;-3
TEKFO-479;15
NJH22-6882;28
SKF-6014-2RS1;6
CH0139;323
FRI83830;50
THO3993;66
BAT665;13
AGREG5967-12;259
UP2368R;9
JOR5261RC;40
SPR4565-6171;28
MON37343;28
WEST2003C;21
WH430950;325
AG223024;10
DAU084;25
MAFHX428D;10
